SUMLEV,POP_2010,POP_2015,POP_2019
50,54571,54727,55390
50,182265,194885,212521
50,27457,26937,25157
50,22915,22521,22550
50,57322,57619,57787
50,10914,10549,10176
50,20947,20356,19888
50,118572,116471,114710
50,34215,34139,33707
50,25989,26017,25805
50,43643,43628,44120
50,13859,13397,12925
50,25833,25123,24063
50,13932,13404,13350
50,14972,14976,14899
50,49948,50681,51853
50,54428,54529,54695
50,13228,12912,12431
50,11539,11254,10724
50,37765,37814,37062
50,13906,13847,13858
50,80406,80690,82867
50,50251,49771,49342
50,43820,41976,39238
50,71109,70912,71437
50,79303,80536,81422
50,38319,37765,36993
50,104430,103884,103007
50,17241,16824,16466
50,31704,31553,31542
50,26790,26677,26385
50,9045,8748,8310
50,15760,15246,14801
50,17302,17129,17115
50,101547,103643,104378
50,53227,52957,51828
50,658466,659265,659599
50,14564,14212,13882
50,92709,92701,92564
50,34339,33575,33063
50,140247,151809,161440
50,82782,88916,94130
50,11299,10661,10097
50,21452,20021,18793
50,334811,346625,361762
50,21027,20119,19396
50,30776,30224,29792
50,93019,94356,95572
50,412992,413918,414045
50,23068,22170,21290
50,229363,228190,227265
50,119490,119571,118918
50,10591,9999,9302
50,19746,19300,20204
50,32899,33715,33349
50,22913,22547,22687
50,52947,59149,56985
50,83593,85810,87926
50,195085,204039,213633
50,13763,13394,12749
50,82291,81578,80142
50,41616,41028,40613
50,194656,201084,207618
50,67023,65777,63895
50,17581,16897,16522
50,11670,11145,10691
50,24484,24189,23760
50,3141,3343,3455
50,5561,5777,5729
50,291826,301142,294338
50,17013,17852,18090
50,997,951,869
50,1826,1943,2084
50,4847,4978,4940
50,97581,100933,99675
50,2508,2558,2524
50,2150,2116,2139
50,31275,32594,32098
50,55400,57014,58558
50,13477,13722,13834
50,13592,14093,13512
50,7459,7974,8236
50,1631,1667,1612
50,88995,95880,106232
50,9492,9852,10025
50,9430,9792,9795
50,7523,7725,7795
50,3815,3291,3264
50,5559,6446,6444
50,8881,8973,8641
50,968,1026,1167
50,7029,6986,6892
50,9636,9781,9220
50,2369,2448,2521
50,662,651,602
50,5588,5560,5409
50,71518,72322,71545
50,131346,129578,124864
50,134421,136699,141001
50,53597,53005,53578
50,37220,37433,37481
50,8437,8916,9443
50,20489,20522,20706
50,3817117,4017723,4327184
50,200186,203126,207017
50,107449,107135,109079
50,980263,997127,1026391
50,375770,385398,431564
50,47420,46939,46566
50,211033,214421,228082
50,195751,202420,209507
50,19019,18755,17872
50,21853,21278,20311
50,41513,40983,41308
50,221339,239461,266585
50,36903,37328,37459
50,11508,11120,10813
50,5368,5192,5201
50,27446,27791,27865
50,11800,11362,10647
50,22995,22582,22184
50,16083,15484,14865
50,25970,25625,25059
50,8689,8515,8162
50,24552,24284,23695
50,21273,21088,20810
50,96443,101653,107188
50,61948,61667,62894
50,50902,49739,48716
50,17870,17521,16792
50,8116,7892,7307
50,13008,12502,11743
50,18509,18686,18370
50,113237,119176,123530
50,18125,17915,17809
50,12245,12170,12131
50,96024,97654,98327
50,17853,18046,18103
50,42090,43160,44993
50,22609,22420,21876
50,32923,33528,33606
50,13789,13543,13365
50,36647,36885,37391
50,13696,13411,13666
50,17997,17729,17017
50,77435,73191,69238
50,25540,25932,26401
50,7645,7284,6797
50,17415,17054,16571
50,10424,10010,9127
50,14134,14063,13475
50,13171,12733,12373
50,22353,22031,21739
50,68356,70742,72778
50,15717,15679,16299
50,16653,16444,16429
50,43462,43402,43736
50,46480,44695,42112
50,8149,7690,7013
50,9487,9252,8890
50,8997,8772,8309
50,8330,8042,7815
50,26120,24948,23817
50,10445,10335,10346
50,21757,20437,18599
50,11291,11121,10735
50,24583,24187,24071
50,20662,20342,20147
50,61754,62588,63634
50,8715,8375,8248
50,382748,391512,393280
50,17969,17625,17665
50,28258,27508,25997
50,107118,113348,119520
50,11233,10934,10369
50,8195,7991,7927
50,125744,127173,127786
50,17058,17356,17103
50,17264,17043,17147
50,12394,12423,12520
50,41639,40604,39460
50,17295,16985,16552
50,203065,216000,232732
50,77076,78567,78844
50,7260,7018,6575
50,22185,21819,21509
50,1510271,1579593,1660196
50,1175,1128,1111
50,38091,36620,38529
50,220000,221641,228696
50,45578,44655,45681
50,21419,21250,21579
50,1049025,1093401,1145535
50,28610,27816,27351
50,181058,181481,188679
50,930450,951514,985238
50,28122,27809,27926
50,134623,134403,136507
50,174528,176438,181649
50,18546,18357,17868
50,839631,862000,887356
50,152982,150337,149665
50,64665,63796,64111
50,34895,32129,30920
50,9818605,9992484,10103711
50,150865,151370,155423
50,252409,258409,259749
50,18251,17809,17414
50,87841,87054,87576
50,255793,262026,271096
50,9686,9145,8876
50,14202,14067,14354
50,415057,426712,434534
50,136484,139580,139878
50,98764,97938,99367
50,3010232,3104950,3174289
50,348432,365398,385115
50,20007,18895,18660
50,2189641,2286755,2414964
50,1418788,1457341,1527301
50,55269,57239,60164
50,2035210,2082738,2150945
50,3095313,3209768,3321237
50,805235,839572,878040
50,685306,702046,743296
50,269637,275696,282481
50,718451,748661,768901
50,423895,434601,445298
50,1781642,1866425,1932510
50,262382,268816,274856
50,177223,178397,179384
50,3240,3028,3002
50,44900,43532,43622
50,413344,423659,443511
50,483878,494073,502469
50,514453,523451,544717
50,94737,94507,96204
50,63463,62875,63847
50,13786,13427,12726
50,442179,452460,462308
50,55365,53997,53976
50,823318,838136,849044
50,200849,206292,218477
50,72155,73090,76578
50,441603,469978,503590
50,15445,15787,16108
50,572003,608467,644478
50,12084,12216,13295
50,3788,3656,3554
50,6499,5761,5827
50,294567,309323,322441
50,55889,60149,68263
50,17809,18355,19666
50,1836,1879,1853
50,9088,9024,9574
50,8256,8199,8139
50,3524,3541,3756
50,5823,5346,5840
50,4255,4261,4857
50,30952,30338,30519
50,600158,649391,704961
50,2064,2033,2045
50,285465,306234,335816
50,52197,52816,54929
50,23086,23541,25765
50,622263,655209,700099
50,46824,46332,47548
50,56389,56938,59032
50,5441,5530,6018
50,14843,14312,15364
50,15324,15575,16863
50,843,804,791
50,6711,6460,6628
50,1394,1336,1375
50,534543,552031,575417
50,1398,1392,1365
50,8270,8245,7137
50,7310,7263,7750
50,51334,53368,55563
50,299630,316225,344084
50,15507,14396,14201
50,5467,5435,5523
50,22709,22174,22317
50,146723,147175,151170
50,712,732,753
50,13795,13126,13088
50,25535,25542,26112
50,41276,40549,41753
50,28159,28223,28295
50,18831,18452,18345
50,4436,4552,4813
50,16206,16184,17894
50,4442,4383,4288
50,17148,17460,17973
50,12551,12317,11998
50,159063,161033,166283
50,6666,6693,6352
50,11982,11676,11297
50,23509,23599,25171
50,6108,6242,6633
50,699,692,712
50,7359,7621,8034
50,2379,2340,2311
50,27994,28728,30820
50,23350,23356,24674
50,4814,4743,4921
50,252825,270165,305885
50,10043,10132,9959
50,916829,939924,943038
50,894014,897678,893076
50,189927,186836,181667
50,165676,165329,162942
50,862477,862820,857748
50,274055,272976,267419
50,152691,151778,151009
50,118428,117500,116398
50,162310,169038,176499
50,538479,548331,555976
50,197145,206207,224348
50,601723,650581,694906
50,247336,252475,266309
50,27115,27009,28254
50,168852,174596,184736
50,28520,26802,27142
50,543376,550255,587769
50,1748066,1836600,1934516
50,14625,14578,14428
50,159978,164671,181522
50,141236,138829,145415
50,190865,195657,212228
50,321520,338987,372678
50,67531,67417,69999
50,34862,34905,37241
50,16422,16084,16615
50,864263,885943,937933
50,297619,306694,313249
50,95696,99798,109999
50,11549,11521,11724
50,46389,46087,45993
50,16939,16957,17900
50,12884,12670,13580
50,15863,15884,16105
50,14799,14342,14364
50,27731,27311,27154
50,39140,37809,41018
50,172778,173639,186704
50,98786,98077,103852
50,1229226,1304131,1426736
50,19927,19594,19427
50,138028,141895,154241
50,49746,48880,48289
50,14761,14209,14165
50,8870,8819,8602
50,297052,307973,345432
50,618754,659834,740000
50,275487,281887,290965
50,40801,39433,40276
50,8365,8357,8236
50,19224,18753,18474
50,322833,341855,385506
50,331298,335083,353339
50,146318,151126,159701
50,2496435,2609692,2713295
50,73090,75813,76483
50,73314,75384,82925
50,180822,192688,203478
50,39996,39482,41275
50,1145956,1227435,1355921
50,268685,299238,353623
50,1320134,1376462,1470344
50,464697,474352,525141
50,916542,928414,968341
50,602095,622633,685368
50,74364,72370,73384
50,190039,209439,243693
50,277789,285299,313163
50,151372,160392,174049
50,379448,389941,419680
50,422718,435503,462801
50,93420,106898,124995
50,41551,43588,44124
50,22570,22873,21781
50,15535,15160,15448
50,494593,500438,537868
50,30776,31004,32050
50,55043,59193,68021
50,24896,24504,24546
50,18236,18370,18438
50,8375,8264,8182
50,11096,11173,11205
50,3451,3348,3159
50,45720,46178,44963
50,18395,18221,18628
50,69367,71239,78899
50,100157,100917,105098
50,17634,17450,17037
50,19286,19059,19108
50,155547,155031,152840
50,13063,12744,12764
50,18411,18257,18832
50,16243,15649,15617
50,30233,33034,36999
50,70217,71816,75991
50,23316,22824,22545
50,23655,23218,24067
50,6694,6596,6389
50,50513,51404,53005
50,10998,10960,10706
50,110527,112265,117390
50,63942,65221,66495
50,12171,13107,12810
50,265128,277650,289309
50,11267,12245,10205
50,26015,25049,24746
50,214346,224314,247763
50,116714,120888,126815
50,3183,3015,2955
50,259424,264015,284184
50,6798,6758,6643
50,688078,716017,752649
50,42356,43078,42880
50,45498,46126,45480
50,124053,136141,151529
50,17212,17051,17213
50,127317,132944,143153
50,12630,12483,12263
50,23439,23298,22710
50,16633,16453,16254
50,22330,22732,24406
50,27842,27391,26706
50,691893,717740,751176
50,21796,21429,20749
50,14918,14372,13691
50,94565,93411,89457
50,132403,136024,143376
50,11008,10540,10317
50,4034,3993,3914
50,52250,54419,60086
50,20166,19490,19102
50,22598,22631,22533
50,11000,10794,10741
50,23682,23831,25332
50,106567,108054,112553
50,96317,95880,97500
50,175511,193801,228940
50,22084,22045,22864
50,920581,981472,1038938
50,28292,28717,30443
50,3082,3060,3032
50,79626,81497,84675
50,55186,55761,57164
50,25011,25101,24773
50,15994,16243,17203
50,805321,853459,918186
50,43041,43154,44535
50,179684,186431,198953
50,9429,8952,8539
50,28780,28335,29248
50,32024,32532,33943
50,25213,25456,25710
50,11834,11564,11751
50,203922,210012,225182
50,139900,147527,153202
50,9538,9345,9352
50,60485,61268,67644
50,13900,13597,13882
50,15068,15042,15039
50,16930,16240,15630
50,8340,9194,8813
50,9980,9900,9737
50,28669,28576,28466
50,18317,17929,18600
50,10078,10412,10425
50,48434,47733,47376
50,28298,29039,29410
50,63453,62341,61619
50,7996,7734,7856
50,14464,16484,18780
50,109233,112883,115404
50,29966,30873,32801
50,21875,21499,21511
50,14333,14027,14080
50,14740,13976,13254
50,28120,28202,29295
50,8742,8580,8403
50,21992,21217,21021
50,6125,5899,5813
50,23498,22992,22317
50,26424,26619,27163
50,9123,8957,9024
50,17868,17682,18373
50,39628,39178,39803
50,189885,203225,193836
50,99958,102040,107846
50,32808,34077,38122
50,14899,14423,14874
50,142324,146753,159509
50,27695,27162,26961
50,29431,29387,31541
50,18758,19017,19197
50,17869,17774,18204
50,41475,40977,41818
50,12010,11563,11181
50,21218,21280,21692
50,2513,2367,2333
50,16276,16184,16545
50,7719,7201,6969
50,200549,201335,201673
50,85215,86480,89843
50,5010,5095,5235
50,14593,14145,13956
50,8729,8848,8253
50,64073,63508,65358
50,26175,25551,25736
50,6058,5559,6314
50,32819,31335,29901
50,6865,6554,6256
50,1717,1690,1613
50,25520,25635,25409
50,8906,8380,8110
50,16500,16633,15929
50,9315,9165,8695
50,44720,44770,44619
50,40118,40180,40431
50,27223,27189,26859
50,10471,10787,11553
50,6885,6687,6746
50,67044,68801,70062
50,8930,8206,7895
50,9023,8516,8253
50,21356,21424,23376
50,27153,26421,26201
50,68756,68594,68999
50,83768,86041,91296
50,36312,35743,35668
50,5834,5518,5265
50,21187,20573,20311
50,30099,29990,29797
50,2799,2669,2589
50,7421,7935,7960
50,27144,27830,29445
50,102599,102728,104234
50,9255,9061,8791
50,10593,9920,9860
50,9563,9363,8954
50,21679,21052,20528
50,185079,191459,199981
50,953207,986059,986353
50,90,89,86
50,67091,69632,71827
50,154834,161004,166146
50,392365,415951,456548
50,3976,3863,4127
50,82839,83455,85482
50,5986,5948,6023
50,9285,9030,9157
50,45607,45423,45884
50,21376,21325,22373
50,7028,6720,7347
50,40877,40525,43654
50,104234,107369,114488
50,10972,10853,11965
50,2891,2667,2585
50,1117,1043,1096
50,188923,198590,216858
50,6963,6787,6973
50,22952,23344,23650
50,982,879,879
50,8761,8568,8646
50,4368,4225,4135
50,27038,26267,26881
50,12786,12802,13467
50,13242,12872,13122
50,16719,16569,17311
50,15464,15169,15121
50,16267,16249,16373
50,26140,26804,28439
50,22374,22768,23768
50,138494,143897,157320
50,37244,38220,39741
50,7936,7716,7829
50,3821,3805,3884
50,5208,5329,5376
50,37536,37527,39370
50,20069,20400,20722
50,39265,39798,40289
50,4286,4257,4389
50,11526,11394,11618
50,22623,22550,23163
50,7817,7791,7606
50,12765,12673,12519
50,10170,10399,11445
50,77230,79894,85374
50,9862,9575,10667
50,10198,9916,10051
50,67103,66999,66057
50,8238,7238,6278
50,17768,17331,16648
50,54165,53747,53513
50,6937,6864,6609
50,34978,34108,33137
50,5089,5008,4851
50,15387,14969,14475
50,13642,13293,12492
50,201081,206425,210425
50,34800,34148,33007
50,16335,16095,15812
50,13815,13554,13270
50,37762,37731,37645
50,53873,53053,51353
50,5194675,5252875,5200821
50,19817,19435,18975
50,11048,10904,10880
50,105160,104202,104309
50,16561,16373,15906
50,19980,19861,19629
50,916924,932231,930265
50,18576,17941,17390
50,6721,6687,6448
50,34242,34217,34123
50,22140,22195,21514
50,14081,13672,13298
50,39561,39555,38995
50,37069,36323,35104
50,5589,5386,5071
50,13886,13633,13156
50,50063,50187,50622
50,8457,8348,8181
50,19104,18544,17958
50,4320,4177,3922
50,7331,6963,6819
50,50486,49917,49219
50,29718,28940,27777
50,60218,59760,57904
50,9698,9607,9523
50,38827,38641,38045
50,22985,22599,21912
50,22678,22399,21495
50,12582,12867,12399
50,515269,522626,532272
50,113449,112735,110540
50,114736,119566,126152
50,52919,52129,50577
50,703462,704207,702475
50,113924,112430,109622
50,16833,16728,16027
50,36031,35121,34540
50,38950,37394,36124
50,30305,29826,29034
50,32612,32253,30373
50,308760,307605,307815
50,169572,175037,172754
50,110768,109561,105399
50,47765,46680,45505
50,269282,267268,265251
50,39437,38669,37726
50,12640,12128,11668
50,14666,14144,13677
50,15429,14847,14291
50,12705,12572,12293
50,16434,16075,15608
50,32957,33457,34179
50,30104,29362,28781
50,35547,35000,34245
50,14846,14796,14701
50,53497,52266,50993
50,186494,188643,182525
50,22350,21714,21281
50,16729,16429,16422
50,16430,16071,15668
50,4470,4457,4183
50,6161,5893,5520
50,6006,5855,5694
50,33476,33175,32297
50,16233,16008,15837
50,147546,147650,143828
50,270056,266831,262600
50,24913,24803,23963
50,197465,199141,197072
50,7544,7392,6948
50,5355,5211,4983
50,22363,22137,21774
50,5994,5705,5457
50,47711,46671,44997
50,135394,136266,133489
50,17808,17539,16968
50,81625,80585,77689
50,11947,11671,11523
50,17707,17662,17144
50,14716,14414,13963
50,16760,16664,16412
50,14665,14434,13903
50,58498,57468,55955
50,677560,683734,690479
50,66357,67450,67049
50,295266,290945,284681
50,38664,39027,38670
50,34387,34644,35385
50,355329,363355,371723
50,76794,79655,82213
50,8854,8748,8631
50,12766,12461,12028
50,56640,60346,65723
50,15242,15055,15010
50,20155,20113,20067
50,38966,38585,37828
50,110232,112688,116545
50,26890,26662,26167
50,33224,32766,32195
50,10713,10620,10535
50,31648,32282,33136
50,50047,49739,49564
50,25740,26236,26620
50,42223,42369,42806
50,117671,116831,115246
50,41889,42275,42538
50,197559,200205,204194
50,24277,23826,23154
50,74578,76018,77006
50,17240,16882,16419
50,23087,22970,22694
50,20836,20449,19995
50,33503,33484,33721
50,70061,68845,66305
50,33165,32741,32172
50,274569,296858,322933
50,70002,70980,74998
50,39364,39000,39777
50,145448,153555,163622
50,49462,48843,48170
50,82752,82738,82210
50,37124,36777,36222
50,42376,43437,43955
50,33478,33423,33424
50,21253,21270,20883
50,32428,32390,32013
50,28525,28227,27652
50,139654,145410,153820
50,38440,38055,37044
50,77358,77865,79026
50,37128,38089,39248
50,496005,491732,484601
50,111467,111423,109842
50,46134,45896,45592
50,131636,130303,129418
50,903393,929922,950537
50,47051,46910,46433
50,10334,10233,10181
50,36903,36167,35864
50,137974,142068,146638
50,38124,38137,38343
50,68894,69344,69793
50,14244,14028,14027
50,47536,47240,47329
50,6128,5986,5854
50,19840,19835,19423
50,21575,21153,20791
50,17339,17237,16907
50,19338,19417,18978
50,12845,12495,12315
50,164343,166478,168495
50,25910,25561,25569
50,13402,12939,12529
50,37963,37494,37363
50,26171,25617,24907
50,28818,28296,28428
50,17392,16996,16643
50,266931,267054,270057
50,24181,23755,23793
50,44436,44333,44367
50,20952,20762,20440
50,23363,23139,22935
50,34185,34371,34384
50,21475,21138,20700
50,10613,10598,10686
50,172780,181953,191199
50,15936,15544,15137
50,7516,7307,7159
50,179703,181580,180954
50,16212,15852,15503
50,107848,108200,107569
50,32888,32269,31380
50,8508,8369,8204
50,59689,60852,62401
50,28262,27779,27771
50,68917,67785,66179
50,27636,27715,27958
50,24643,24401,24163
50,33292,33283,33722
50,7682,7387,7051
50,4029,3891,3657
50,14330,14071,13803
50,12887,12654,12353
50,6119,5863,5550
50,26076,25699,25656
50,131090,132933,132238
50,26306,26284,26443
50,24276,24579,24823
50,20958,21026,21126
50,20260,20649,20144
50,14867,14975,14592
50,9670,9898,9729
50,20816,20541,20274
50,13956,13572,13144
50,18499,18226,18490
50,44151,43528,42999
50,12072,11874,11307
50,12439,12274,12002
50,9286,9245,9396
50,16667,16438,16141
50,18129,17793,17648
50,49116,48281,46874
50,17096,17360,17076
50,66135,74949,87208
50,8753,8769,8969
50,8457,8216,7947
50,17764,17473,17143
50,40325,40395,39326
50,16667,16878,17141
50,93653,95945,97066
50,10302,9880,9422
50,20880,20519,19687
50,16303,16023,15767
50,10680,10507,10160
50,7441,7069,6930
50,9336,9159,8954
50,12453,12341,12298
50,10954,10671,10645
50,15673,15343,15032
50,11341,11131,10756
50,17534,17388,17073
50,14928,14357,14107
50,20145,20021,20044
50,9566,9439,9229
50,9815,9677,9569
50,7089,7074,6869
50,16355,16281,16133
50,19848,19517,19382
50,36842,36728,36995
50,16843,17629,18219
50,130882,140151,149325
50,20638,20519,20618
50,10511,10337,10141
50,15543,15332,14939
50,35862,35236,34216
50,211226,216488,224379
50,11387,11348,11195
50,8898,8697,8533
50,11581,11695,11785
50,15679,15483,16000
50,22381,22421,22211
50,33309,33014,33091
50,40648,40995,40078
50,15059,14905,15060
50,10776,10669,10563
50,9243,9032,8724
50,7970,7979,7798
50,10740,10404,10112
50,42745,43010,42872
50,14398,14045,13774
50,6462,6236,6021
50,15932,15516,15213
50,9421,9164,9052
50,24986,24931,25060
50,7310,7112,6833
50,430640,452657,480487
50,93158,92855,93416
50,18914,18606,18334
50,5131,4971,5024
50,10350,10030,9803
50,165224,170201,172448
50,12167,11899,11574
50,33704,34503,34781
50,89542,93877,97278
50,17767,17430,17029
50,6317,6233,6095
50,12534,12616,12459
50,7570,7434,7155
50,35625,35507,35022
50,46225,47358,50078
50,21704,21944,22204
50,6403,6385,6492
50,38013,37327,36637
50,10866,10430,10573
50,21056,20840,20129
50,102172,102284,102132
50,7598,7489,7455
50,13229,12982,12765
50,13371,13069,12555
50,8102,7854,7833
50,16924,16688,16298
50,4861,4909,4570
50,27674,27443,26394
50,15173,14835,14609
50,9984,9912,9609
50,65880,65671,66845
50,2790,2690,2651
50,3669,3529,3315
50,21603,20899,20129
50,2726,2671,2684
50,2215,2178,1995
50,8535,8388,8006
50,9533,9355,8912
50,8601,8377,8228
50,1891,1926,1759
50,36311,36170,35297
50,39134,39250,38925
50,2961,2908,2863
50,19754,19433,18829
50,7945,7876,7657
50,110826,114713,120281
50,3037,2967,2873
50,2882,2633,2514
50,28452,29030,28735
50,6497,6365,6284
50,36776,37073,36720
50,33848,34879,34218
50,25992,25734,25631
50,34362,36797,33774
50,2695,2794,2622
50,2597,2588,2485
50,7829,7846,7490
50,6006,5980,6018
50,1247,1283,1226
50,6689,6358,6067
50,2690,2620,2616
50,6034,5842,5580
50,34684,34715,34373
50,4256,4126,4019
50,1916,1924,1863
50,13462,13310,13332
50,19126,18773,18932
50,3077,3060,2857
50,544179,566351,591305
50,3977,3912,3935
50,7858,7801,7275
50,2553,2534,2486
50,21607,20871,20129
50,1750,1698,1548
50,76227,78082,81109
50,3241,3161,3043
50,9656,9543,9697
50,2756,2775,2814
50,33690,33479,33257
50,29180,29415,28687
50,12660,12205,11945
50,10117,9973,9687
50,4575,4286,4230
50,32787,32834,33429
50,6373,6309,6137
50,35471,34444,32390
50,5923,5719,5467
50,3233,3116,2747
50,10178,10092,10060
50,16512,16383,16094
50,3107,3087,2856
50,5671,5614,5421
50,16295,16080,15842
50,3858,3800,3539
50,6091,6044,5817
50,6973,6863,6665
50,5642,5560,5370
50,21604,22574,23916
50,9656,9778,9500
50,2519,2563,2473
50,64511,64079,62714
50,4980,4767,4654
50,10083,9978,9563
50,71115,76923,73977
50,5181,5195,5055
50,3307,3176,3048
50,6970,6977,6930
50,55606,55750,54508
50,4936,4906,4928
50,498365,506442,513176
50,22952,23311,22245
50,177934,178650,178056
50,2556,2500,2526
50,6010,6090,5936
50,3853,3699,3615
50,4437,4339,4186
50,2235,2178,2055
50,5724,5808,5551
50,24132,23537,23117
50,7900,7933,7821
50,3001,2945,2843
50,7053,7025,6832
50,1485,1560,1515
50,5799,5626,5479
50,2234,2192,2121
50,9409,9091,8707
50,3309,3215,3130
50,157505,160933,165087
50,18656,19124,19287
50,19956,20316,20903
50,21421,21747,22545
50,8249,8252,8018
50,42173,42937,43746
50,11591,11975,12381
50,28691,28031,26863
50,118811,125022,130952
50,19985,20026,20092
50,49542,48880,47808
50,28432,29632,29972
50,8488,8423,8285
50,13878,13527,12929
50,20059,20042,20131
50,74319,76878,80269
50,12690,12704,12778
50,12984,12887,12666
50,37191,38425,38832
50,90336,91423,92878
50,5104,4959,4788
50,10811,10838,10714
50,27720,27600,27214
50,15955,16011,15818
50,73955,73612,71024
50,35613,35550,35899
50,21730,21186,20251
50,10272,10175,10212
50,9315,9178,8999
50,6856,6790,6710
50,96656,98294,100461
50,12161,12058,12226
50,7852,7551,7493
50,14672,14482,14178
50,295803,309865,321964
50,14348,14536,14439
50,39451,38474,36296
50,49285,49478,50492
50,6813,6389,6163
50,8589,8578,8720
50,16912,16992,17449
50,24662,24565,24973
50,37121,37406,37190
50,25746,25948,26286
50,11258,11154,11036
50,36910,36483,35514
50,8565,8626,8778
50,105543,108969,108161
50,29278,28489,26676
50,18846,18571,18735
50,18199,18464,18745
